1,7,7,8:06,2014-12-14 22:00:00.000
1,7,6,8:14,2014-12-14 22:00:00.000
1,7,5,8:19,2014-12-14 22:00:00.000
1,7,4,8:28,2014-12-14 22:00:00.000
1,7,3,8:34,2014-12-14 22:00:00.000
1,7,2,8:45,2014-12-14 22:00:00.000
1,7,1,8:55,2014-12-14 22:00:00.000
1,8,17,7:43,2014-12-14 22:00:00.000
1,8,16,7:49,2014-12-14 22:00:00.000
1,8,15,7:55,2014-12-14 22:00:00.000
1,8,14,8:01,2014-12-14 22:00:00.000
1,8,13,8:10,2014-12-14 22:00:00.000
1,8,12,8:14,2014-12-14 22:00:00.000
1,8,11,8:18,2014-12-14 22:00:00.000
1,8,10,8:27,2014-12-14 22:00:00.000
1,8,9,8:34,2014-12-14 22:00:00.000
1,8,8,8:40,2014-12-14 22:00:00.000
1,8,7,8:46,2014-12-14 22:00:00.000
1,8,6,8:54,2014-12-14 22:00:00.000
1,8,5,8:59,2014-12-14 22:00:00.000
1,8,4,9:08,2014-12-14 22:00:00.000
1,8,3,9:14,2014-12-14 22:00:00.000
1,8,2,9:25,2014-12-14 22:00:00.000
1,8,1,9:35,2014-12-14 22:00:00.000
1,9,17,8:23,2014-12-14 22:00:00.000
1,9,16,8:30,2014-12-14 22:00:00.000
1,9,15,8:36,2014-12-14 22:00:00.000
1,9,14,8:43,2014-12-14 22:00:00.000
1,9,13,8:52,2014-12-14 22:00:00.000
1,9,12,8:56,2014-12-14 22:00:00.000
1,9,11,9:00,2014-12-14 22:00:00.000
1,9,10,9:09,2014-12-14 22:00:00.000
1,9,9,9:16,2014-12-14 22:00:00.000
1,9,8,9:23,2014-12-14 22:00:00.000
1,9,7,9:29,2014-12-14 22:00:00.000
1,9,6,9:38,2014-12-14 22:00:00.000
1,9,5,9:44,2014-12-14 22:00:00.000
1,9,4,9:53,2014-12-14 22:00:00.000
1,9,3,9:59,2014-12-14 22:00:00.000
1,9,2,10:10,2014-12-14 22:00:00.000
1,9,1,10:20,2014-12-14 22:00:00.000
1,10,17,9:23,2014-12-14 22:00:00.000
1,10,16,9:30,2014-12-14 22:00:00.000
1,10,15,9:36,2014-12-14 22:00:00.000
1,10,14,9:43,2014-12-14 22:00:00.000
1,10,13,9:52,2014-12-14 22:00:00.000
1,10,12,9:56,2014-12-14 22:00:00.000
1,10,11,10:00,2014-12-14 22:00:00.000
1,10,10,10:09,2014-12-14 22:00:00.000
1,10,9,10:16,2014-12-14 22:00:00.000
1,10,8,10:23,2014-12-14 22:00:00.000
1,10,7,10:29,2014-12-14 22:00:00.000
1,10,6,10:38,2014-12-14 22:00:00.000
1,10,5,10:44,2014-12-14 22:00:00.000
1,10,4,10:53,2014-12-14 22:00:00.000
1,10,3,10:59,2014-12-14 22:00:00.000
1,10,2,11:10,2014-12-14 22:00:00.000
1,10,1,11:20,2014-12-14 22:00:00.000
1,11,17,10:23,2014-12-14 22:00:00.000
1,11,16,10:30,2014-12-14 22:00:00.000
1,11,15,10:36,2014-12-14 22:00:00.000
1,11,14,10:43,2014-12-14 22:00:00.000
1,11,13,10:52,2014-12-14 22:00:00.000
1,11,12,10:56,2014-12-14 22:00:00.000
1,11,11,11:00,2014-12-14 22:00:00.000
1,11,10,11:09,2014-12-14 22:00:00.000
1,11,9,11:16,2014-12-14 22:00:00.000
1,11,8,11:23,2014-12-14 22:00:00.000
1,11,7,11:29,2014-12-14 22:00:00.000
1,11,6,11:38,2014-12-14 22:00:00.000
1,11,5,11:44,2014-12-14 22:00:00.000
1,11,4,11:53,2014-12-14 22:00:00.000
1,11,3,11:59,2014-12-14 22:00:00.000
1,11,2,12:10,2014-12-14 22:00:00.000
1,11,1,12:20,2014-12-14 22:00:00.000
1,12,17,11:23,2014-12-14 22:00:00.000
1,12,16,11:30,2014-12-14 22:00:00.000
1,12,15,11:36,2014-12-14 22:00:00.000
1,12,14,11:43,2014-12-14 22:00:00.000
1,12,13,11:52,2014-12-14 22:00:00.000
1,12,12,11:56,2014-12-14 22:00:00.000
1,12,11,12:00,2014-12-14 22:00:00.000
1,12,10,12:09,2014-12-14 22:00:00.000
1,12,9,12:16,2014-12-14 22:00:00.000
1,12,8,12:23,2014-12-14 22:00:00.000
1,12,7,12:29,2014-12-14 22:00:00.000
1,12,6,12:38,2014-12-14 22:00:00.000
1,12,5,12:44,2014-12-14 22:00:00.000
1,12,4,12:53,2014-12-14 22:00:00.000
1,12,3,12:59,2014-12-14 22:00:00.000
1,12,2,1:10,2014-12-14 22:00:00.000
1,12,1,1:20,2014-12-14 22:00:00.000
1,13,17,12:23,2014-12-14 22:00:00.000
1,13,16,12:30,2014-12-14 22:00:00.000
1,13,15,12:36,2014-12-14 22:00:00.000
1,13,14,12:43,2014-12-14 22:00:00.000
1,13,13,12:52,2014-12-14 22:00:00.000
1,13,12,12:56,2014-12-14 22:00:00.000
1,13,11,13:00,2014-12-14 22:00:00.000
1,13,10,13:09,2014-12-14 22:00:00.000
1,13,9,13:16,2014-12-14 22:00:00.000
1,13,8,13:23,2014-12-14 22:00:00.000
1,13,7,13:29,2014-12-14 22:00:00.000
1,13,6,13:38,2014-12-14 22:00:00.000
1,13,5,13:44,2014-12-14 22:00:00.000
1,13,4,13:53,2014-12-14 22:00:00.000
1,13,3,13:59,2014-12-14 22:00:00.000
1,13,2,14:10,2014-12-14 22:00:00.000
1,13,1,14:20,2014-12-14 22:00:00.000
1,14,17,13:23,2014-12-14 22:00:00.000
1,14,16,13:30,2014-12-14 22:00:00.000
1,14,15,13:36,2014-12-14 22:00:00.000
1,14,14,13:43,2014-12-14 22:00:00.000
1,14,13,13:52,2014-12-14 22:00:00.000
1,14,12,13:56,2014-12-14 22:00:00.000
1,14,11,14:00,2014-12-14 22:00:00.000
1,14,10,14:09,2014-12-14 22:00:00.000
1,14,9,14:16,2014-12-14 22:00:00.000
1,14,8,14:23,2014-12-14 22:00:00.000
1,14,7,14:29,2014-12-14 22:00:00.000
1,14,6,14:38,2014-12-14 22:00:00.000
1,14,5,14:44,2014-12-14 22:00:00.000
1,14,4,14:53,2014-12-14 22:00:00.000
1,14,3,14:59,2014-12-14 22:00:00.000
1,14,2,15:10,2014-12-14 22:00:00.000
1,14,1,15:20,2014-12-14 22:00:00.000
1,15,17,14:23,2014-12-14 22:00:00.000
1,15,16,14:30,2014-12-14 22:00:00.000
1,15,15,14:36,2014-12-14 22:00:00.000
1,15,14,14:43,2014-12-14 22:00:00.000
1,15,13,14:52,2014-12-14 22:00:00.000
1,15,12,14:56,2014-12-14 22:00:00.000
1,15,11,15:00,2014-12-14 22:00:00.000
