1,Mangonia Park,26.758726,-80.076926,1310 53rd St,West Palm Beach,33407,1,0.0,6.0,2014-12-14 22:00:00.000
1,West Palm Beach,26.713299,-80.062539,203 South Tamarind Ave,West Palm Beach,33401,2,10.0,10.0,2014-12-14 22:00:00.000
1,Lake Worth,26.616142,-80.069133,1703 Lake Worth Rd,Lake Worth,33460,3,11.0,6.0,2014-12-14 22:00:00.000
1,Boynton Beach,26.553783,-80.07059699999999,2800 High Ridge Rd,Boynton Beach,33426,4,6.0,9.0,2014-12-14 22:00:00.000
1,Delray Beach,26.454242,-80.09096699999999,345 South Congress Ave,Delray Beach,33435,5,9.0,6.0,2014-12-14 22:00:00.000
1,Boca Raton,26.3927,-80.09903299999999,680 Yamato Rd,Boca Raton,33431,6,6.0,7.0,2014-12-14 22:00:00.000
1,Deerfield Beach,26.316863,-80.122553,1300 West Hillsboro Blvd,Deerfield Beach,33442,7,9.0,6.0,2014-12-14 22:00:00.000
1,Pompano Beach,26.272286,-80.13481399999999,3301 Northwest 8th Ave,Pompano Beach,33064,8,6.0,8.0,2014-12-14 22:00:00.000
1,Cypress Creek,26.201194,-80.150369,5910 NW 9th Ave,Ft. Lauderdale,33309,9,7.0,10.0,2014-12-14 22:00:00.000
1,Ft. Lauderdale,26.119942,-80.169808,200 Southwest 21st Terr,Ft. Lauderdale,33312,10,7.0,9.0,2014-12-14 22:00:00.000
1,Ft. Lauderdale/Hollywood International Airport,26.061653,-80.165683,500 Gulf Stream Way,Dania Beach,33004,11,9.0,4.0,2014-12-14 22:00:00.000
1,Sheridan Street,26.032217,-80.168086,2900 Sheridan St,Hollywood,33021,12,4.0,5.0,2014-12-14 22:00:00.000
1,Hollywood,26.012411,-80.167658,3001 Hollywood Blvd,Hollywood,33021,13,4.0,9.0,2014-12-14 22:00:00.000
1,Golden Glades,25.92155,-80.216917,16000 State Road 9,Miami,33169,14,9.0,6.0,2014-12-14 22:00:00.000
1,Opa-locka,25.900036,-80.25269399999999,480 Ali Baba Ave,Opa-locka,33054,15,7.0,7.0,2014-12-14 22:00:00.000
1,Metrorail Transfer,25.846394,-80.25961699999999,2567 East 11th Ave,Hialeah,33013,16,6.0,8.0,2014-12-14 22:00:00.000
1,Hialeah,25.811239,-80.258703,1200 Southeast 11th Ave,Hialeah,33010,17,7.0,0.0,2014-12-14 22:00:00.000
2,Palmetto,25.843472,-80.324653,7701 NW 79th Ave,Medley,33166,1,0.0,6.0,2014-12-14 22:00:00.000
2,Okeechobee,25.839957,-80.301538,2005 West Okeechobee Rd,Hialeah,33010,2,10.0,10.0,2014-12-14 22:00:00.000
2,Hialeah,25.841202,-80.279037,125 East 21 St,Lake Worth,33010,3,11.0,6.0,2014-12-14 22:00:00.000
2,Tri-Rail,25.845564,-80.259822,1125 E. 25 St,Miami,33147,4,6.0,9.0,2014-12-14 22:00:00.000
